Sample_ID,pcr_replicate,biological_replicate,extraction_ID,extraction_replicate,run,collection_year,collection_month,collection_day,location1,longitude,latitude,sample_type,time_of_day,extraction_date,plate_or_vial,extraction_plate,extraction_well,dna_conc,pcr_conc
e00373_A,A,e00373,e00373,1,A,2021,6,19,2,-135.329,56.9124,sample,19:59,2022_01_11,vial,20_2023,A01,2.822,8.394
e00374_A,A,e00374,e00374,1,A,2021,6,19,2,-135.329,56.9124,sample,19:59,2022_01_11,vial,20_2023,B01,1.342,19.996
e00375_A,A,e00375,e00375,1,A,2021,6,19,2,-135.329,56.9124,sample,19:59,2022_01_11,vial,20_2023,C01,2.033,9.084
e00376_A,A,e00376,e00376,1,A,2021,6,19,1,-135.45,57.0923,sample,12:01,2022_01_11,vial,20_2023,D01,9.344,1.172
e00377_A,A,e00377,e00377,1,A,2021,6,19,1,-135.45,57.0923,sample,12:01,2022_01_11,vial,20_2023,E01,9.195,21.079
e00378_A,A,e00378,e00378,1,A,2021,6,19,1,-135.45,57.0923,sample,12:01,2022_01_11,vial,20_2023,F01,8.586,13.88
e00379_A,A,e00379,e00379,1,A,2021,6,20,3,-135.781,57.3259,sample,13:06,2022_01_11,vial,20_2023,G01,7.296,17.856
e00380_A,A,e00380,e00380,1,A,2021,6,20,3,-135.781,57.3259,sample,13:06,2022_01_11,vial,20_2023,H01,4.518,6.021
e00381_A,A,e00381,e00381,1,A,2021,6,20,3,-135.781,57.3259,sample,13:06,2022_01_11,vial,20_2023,A02,4.759,7.584
e00382_A,A,e00382,e00382,1,A,2021,6,20,4,-135.782,57.3253,sample,13:50,2022_01_11,vial,20_2023,B02,4.227,8.56
e00383_A,A,e00383,e00383,1,A,2021,6,20,4,-135.782,57.3253,sample,13:50,2022_01_11,vial,20_2023,C02,6.242,3.949
e00384_A,A,e00384,e00384,1,A,2021,6,20,4,-135.782,57.3253,sample,13:50,2022_01_11,vial,20_2023,D02,9.711,0.92
e00385_A,A,e00385,e00385,1,A,2021,6,22,8,-148.176,59.9684,sample,16:50,2022_01_11,vial,20_2023,E02,5.595,14.243
e00386_A,A,e00386,e00386,1,A,2021,6,22,8,-148.176,59.9684,sample,16:50,2022_01_11,vial,20_2023,F02,3.929,1.789
e00387_A,A,e00387,e00387,1,A,2021,6,22,8,-148.176,59.9684,sample,16:50,2022_01_11,vial,20_2023,G02,0.857,1.798
e00388_A,A,e00388,e00388,1,A,2021,6,22,7,-148.18,59.9795,sample,15:17,2022_01_11,vial,20_2023,H02,0.6,0.699
e00389_A,A,e00389,e00389,1,A,2021,6,22,7,-148.18,59.9795,sample,15:17,2022_01_11,vial,20_2023,A03,1.173,15.096
e00390_A,A,e00390,e00390,1,A,2021,6,22,7,-148.18,59.9795,sample,15:17,2022_01_11,vial,20_2023,B03,0.6,13.229
e00391_A,A,e00391,e00391,1,A,2021,6,23,9,-147.993,60.117,sample,8:29,2022_01_11,vial,20_2023,C03,2.566,11.084
e00392_A,A,e00392,e00392,1,A,2021,6,23,9,-147.993,60.117,sample,8:29,2022_01_11,vial,20_2023,D03,1.138,21.735
e00393_A,A,e00393,e00393,1,A,2021,6,23,9,-147.993,60.117,sample,8:29,2022_01_11,vial,20_2023,E03,0.6,7.923
e00394_A,A,e00394,e00394,1,A,2021,6,23,10,-147.99,60.117,sample,9:15,2022_01_11,vial,20_2023,F03,2.347,1.235
e00395_A,A,e00395,e00395,1,A,,,,NA,NA,NA,extraction_blank,,2022_01_11,vial,20_2023,G03,0.6,0.6
e00396_A,A,e00396,e00396,1,A,2021,6,23,10,-147.99,60.117,sample,9:15,2022_01_11,vial,20_2023,H03,7.127,1.438
e00397_A,A,e00397,e00397,1,A,2021,6,23,10,-147.99,60.117,sample,9:15,2022_01_11,vial,20_2023,A04,6.783,8.752
e00398_A,A,e00398,e00398,1,A,2021,6,23,13,-148,60.1073,sample,19:01,2022_01_11,vial,20_2023,B04,5.311,8.281
e00399_A,A,e00399,e00399,1,A,2021,6,23,13,-148,60.1073,sample,19:01,2022_01_11,vial,20_2023,C04,2.767,14.147
e00400_A,A,e00400,e00400,1,A,2021,6,23,13,-148,60.1073,sample,19:01,2022_01_11,vial,20_2023,D04,3.82,10.914
e00401_A,A,e00401,e00401,1,A,2021,6,24,UNK1,-148.4767,60.0035,sample,19:45,2022_01_11,vial,20_2023,E04,0.6,3.418
e00402_A,A,e00402,e00402,1,A,2021,6,24,UNK1,-148.4767,60.0035,sample,19:45,2022_01_11,vial,20_2023,F04,0.6,2.344
e00403_A,A,e00403,e00403,1,A,2021,6,24,UNK1,-148.4767,60.0035,sample,19:45,2022_01_11,vial,20_2023,G04,0.6,1.006
e00404_A,A,e00404,e00404,1,A,2021,6,25,UNK2,-150.3301,59.449,sample,16:23,2022_01_11,vial,20_2023,H04,7.209,0.6
e00405_A,A,e00405,e00405,1,A,2021,6,25,UNK2,-150.3301,59.449,sample,16:23,2022_01_11,vial,20_2023,A05,14.049,9.044
e00406_A,A,e00406,e00406,1,A,2021,6,25,UNK2,-150.3301,59.449,sample,16:23,2022_01_11,vial,20_2023,B05,14.276,7.403
e00407_A,A,e00407,e00407,1,A,2021,6,26,25,-150.698,59.3797,sample,9:20,2022_01_11,vial,20_2023,C05,7.498,10.369
e00408_A,A,e00408,e00408,1,A,2021,6,26,25,-150.698,59.3797,sample,9:20,2022_01_11,vial,20_2023,D05,0.92,2.954
e00409_A,A,e00409,e00409,1,A,2021,6,26,25,-150.698,59.3797,sample,9:20,2022_01_11,vial,20_2023,E05,1.787,8.18
e00410_A,A,e00410,e00410,1,A,2021,6,26,23,-150.694,59.3778,sample,7:37,2022_01_11,vial,20_2023,F05,3.752,4.908
e00411_A,A,e00411,e00411,1,A,2021,6,26,23,-150.694,59.3778,sample,7:37,2022_01_11,vial,20_2023,G05,0.6,8.654
e00412_A,A,e00412,e00412,1,A,2021,6,26,23,-150.694,59.3778,sample,7:37,2022_01_11,vial,20_2023,H05,3.429,0.939
e00413_A,A,e00413,e00413,1,A,2021,6,26,26,-150.699,59.3757,sample,9:40,2022_01_11,vial,20_2023,A06,0.6,8.032
e00414_A,A,e00414,e00414,1,A,2021,6,26,26,-150.699,59.3757,sample,9:40,2022_01_11,vial,20_2023,B06,0.6,16.027
e00415_A,A,e00415,e00415,1,A,2021,6,26,26,-150.699,59.3757,sample,9:40,2022_01_11,vial,20_2023,C06,0.6,1.602
e00416_A,A,e00416,e00416,1,A,2021,6,27,28,-151,59.2563,sample,9:30,2022_01_11,vial,20_2023,D06,2.655,10.047
e00417_A,A,e00417,e00417,1,A,2021,6,27,28,-151,59.2563,sample,9:30,2022_01_11,vial,20_2023,E06,2.588,7.078
e00418_A,A,e00418,e00418,1,A,2021,6,27,28,-151,59.2563,sample,9:30,2022_01_11,vial,20_2023,F06,4.346,8.665
e00419_A,A,e00419,e00419,1,A,2021,6,27,30,-150.999,59.2693,sample,11:57,2022_01_12,vial,20_2023,G06,2.282,8.675
NC1_20_A,A,NC1_20,NC1_20,1,A,,,,,,,PCR_blank,,,,,H07,NA,0.6
e00420_A,A,e00420,e00420,1,A,2021,6,27,30,-150.999,59.2693,sample,11:57,2022_01_12,vial,20_2023,A07,5.515,9.066
e00421_A,A,e00421,e00421,1,A,2021,6,27,29,-150.986,59.2639,sample,10:39,2022_01_12,vial,20_2023,B07,4.195,8.956
e00422_A,A,e00422,e00422,1,A,2021,6,27,29,-150.986,59.2639,sample,10:39,2022_01_12,vial,20_2023,C07,7.698,10.003
e00423_A,A,e00423,e00423,1,A,2021,6,27,29,-150.986,59.2639,sample,10:39,2022_01_12,vial,20_2023,D07,2.911,6.991
e00424_A,A,e00424,e00424,1,A,2021,6,27,27,-151.005,59.2736,sample,8:22,2022_01_12,vial,20_2023,E07,2.631,5.347
e00425_A,A,e00425,e00425,1,A,2021,6,27,27,-151.005,59.2736,sample,8:22,2022_01_12,vial,20_2023,F07,0.6,0.6
e00426_A,A,e00426,e00426,1,A,2021,6,27,27,-151.005,59.2736,sample,8:22,2022_01_12,vial,20_2023,G07,0.6,1.92
e00427_A,A,e00427,e00427,1,A,2021,6,28,32,-152.5098,58.5918,sample,13:33,2022_01_12,vial,20_2023,H07,0.6,1.868
e00428_A,A,e00428,e00428,1,A,2021,6,28,32,-152.5098,58.5918,sample,13:33,2022_01_12,vial,20_2023,A08,0.6,0.942
e00429_A,A,e00429,e00429,1,A,2021,6,28,32,-152.5098,58.5918,sample,13:33,2022_01_12,vial,20_2023,B08,0.6,3.646
e00430_A,A,e00430,e00430,1,A,2021,6,28,31,-152.513,58.592,sample,13:07,2022_01_12,vial,20_2023,C08,2.38,7.421
e00431_A,A,e00431,e00431,1,A,2021,6,28,31,-152.513,58.592,sample,13:07,2022_01_12,vial,20_2023,D08,2.44,12.126
e00432_A,A,e00432,e00432,1,A,2021,6,28,31,-152.513,58.592,sample,13:07,2022_01_12,vial,20_2023,E08,2.689,16.569
e00433_A,A,e00433,e00433,1,A,2021,6,28,34,-152.53,58.5816,sample,15:08,2022_01_12,vial,20_2023,F08,13.213,14.524
e00434_A,A,e00434,e00434,1,A,2021,6,28,34,-152.53,58.5816,sample,15:08,2022_01_12,vial,20_2023,G08,4.883,3.494
e00435_A,A,e00435,e00435,1,A,2021,6,28,34,-152.53,58.5816,sample,15:08,2022_01_12,vial,20_2023,H08,6.815,0.6
e00468_A,A,e00468,e00468,1,A,2021,6,28,33,-152.526,58.751,sample,14:19,2022_01_12,vial,20_2023,A09,11.147,7.464
e00469_A,A,e00469,e00469,1,A,2021,6,28,33,-152.526,58.751,sample,14:19,2022_01_12,vial,20_2023,B09,5.185,11.118
e00470_A,A,e00470,e00470,1,A,2021,6,28,33,-152.526,58.751,sample,14:19,2022_01_12,vial,20_2023,C09,6.038,14.397
e00471_A,A,e00471,e00471,1,A,2021,6,29,35,-152.3817,58.3191,sample,10:41,2022_01_12,vial,20_2023,D09,0.6,13.278
e00472_A,A,e00472,e00472,1,A,2021,6,29,35,-152.3817,58.3191,sample,10:41,2022_01_12,vial,20_2023,E09,0.6,10.894
e00473_A,A,e00473,e00473,1,A,2021,6,29,35,-152.3817,58.3191,sample,10:41,2022_01_12,vial,20_2023,F09,0.6,9.802
e00474_A,A,e00474,e00474,1,A,2021,6,29,36,-152.402,58.3183,sample,11:56,2022_01_12,vial,20_2023,G09,2.475,6.325
e00475_A,A,e00475,e00475,1,A,2021,6,29,36,-152.402,58.3183,sample,11:56,2022_01_12,vial,20_2023,H09,3.994,10.016
e00476_A,A,e00476,e00476,1,A,2021,6,29,36,-152.402,58.3183,sample,11:56,2022_01_12,vial,20_2023,A10,1.865,4.821
e00477_A,A,e00477,e00477,1,A,2021,6,29,37,-152.385,58.3516,sample,12:59,2022_01_12,vial,20_2023,B10,4.079,13.506
e00478_A,A,e00478,e00478,1,A,2021,6,29,37,-152.385,58.3516,sample,12:59,2022_01_12,vial,20_2023,C10,2.451,14.851
e00479_A,A,e00479,e00479,1,A,2021,6,29,37,-152.385,58.3516,sample,12:59,2022_01_12,vial,20_2023,D10,2.122,15.399
e00480_A,A,e00480,e00480,1,A,2021,6,29,38,-152.388,58.3241,sample,14:46,2022_01_12,vial,20_2023,E10,2.545,15.981
