sample	library	run	r1_file	r2_file	reads_raw_r1	reads_raw_r2	reads_primers_fwd	reads_primers_rvs	reads_filtered_fwd	reads_filtered_rvs	reads_tabled	reads_chimera_checked	reads_tax.length_filtered
e00373-A	e00373-A	1	e00373-A_S1_L001_R1_001.fastq.gz	e00373-A_S1_L001_R2_001.fastq.gz	13326	13326	13112	13112	12891	12891	11975	11273	11273
e00373-B	e00373-B	1	e00373-B_S97_L001_R1_001.fastq.gz	e00373-B_S97_L001_R2_001.fastq.gz	26035	26035	25689	25689	25359	25359	23650	22143	22143
e00373-C	e00373-C	1	e00373-C_S193_L001_R1_001.fastq.gz	e00373-C_S193_L001_R2_001.fastq.gz	19432	19432	19217	19217	18873	18873	18320	18005	18005
e00374-A	e00374-A	1	e00374-A_S2_L001_R1_001.fastq.gz	e00374-A_S2_L001_R2_001.fastq.gz	18237	18237	17858	17858	17434	17434	16089	15568	15568
e00374-B	e00374-B	1	e00374-B_S98_L001_R1_001.fastq.gz	e00374-B_S98_L001_R2_001.fastq.gz	30265	30265	29647	29647	29061	29061	27621	27138	27138
e00374-C	e00374-C	1	e00374-C_S194_L001_R1_001.fastq.gz	e00374-C_S194_L001_R2_001.fastq.gz	20651	20651	20206	20206	19765	19765	18777	18533	18533
e00375-A	e00375-A	1	e00375-A_S3_L001_R1_001.fastq.gz	e00375-A_S3_L001_R2_001.fastq.gz	26819	26819	26431	26431	25932	25932	24703	23872	23872
e00375-B	e00375-B	1	e00375-B_S99_L001_R1_001.fastq.gz	e00375-B_S99_L001_R2_001.fastq.gz	25040	25040	24704	24704	24244	24244	23227	22926	22926
e00375-C	e00375-C	1	e00375-C_S195_L001_R1_001.fastq.gz	e00375-C_S195_L001_R2_001.fastq.gz	17368	17368	17127	17127	16819	16819	16162	16031	16031
e00376-A	e00376-A	1	e00376-A_S4_L001_R1_001.fastq.gz	e00376-A_S4_L001_R2_001.fastq.gz	41869	41869	41290	41290	40792	40792	36787	35393	35393
e00376-B	e00376-B	1	e00376-B_S100_L001_R1_001.fastq.gz	e00376-B_S100_L001_R2_001.fastq.gz	29772	29772	29375	29375	28846	28846	22889	22817	22817
e00376-C	e00376-C	1	e00376-C_S196_L001_R1_001.fastq.gz	e00376-C_S196_L001_R2_001.fastq.gz	19891	19891	19637	19637	18756	18756	16299	16263	16263
e00377-A	e00377-A	1	e00377-A_S5_L001_R1_001.fastq.gz	e00377-A_S5_L001_R2_001.fastq.gz	21236	21236	20934	20934	20692	20692	18456	18181	18181
e00377-B	e00377-B	1	e00377-B_S101_L001_R1_001.fastq.gz	e00377-B_S101_L001_R2_001.fastq.gz	29758	29758	29380	29380	28954	28954	20763	20691	20691
e00377-C	e00377-C	1	e00377-C_S197_L001_R1_001.fastq.gz	e00377-C_S197_L001_R2_001.fastq.gz	21361	21361	21073	21073	20749	20749	16617	16560	16560
